> #PAC_Juan de Fuca	
235.258	40.313
234.550	40.354
233.841	40.390
233.131	40.422
232.421	40.450
232.421	40.539
232.283	40.573
232.361	41.081
232.440	41.589
232.554	41.555
232.599	41.640
232.759	41.692
232.961	42.357
233.373	43.014
232.429	43.419
231.472	43.818
230.502	44.208
229.520	44.589
229.633	44.930
229.931	45.285
229.813	45.414
230.064	45.736
230.131	45.896
229.927	45.943
229.949	46.196
230.083	46.229
230.197	46.433
230.428	46.402
230.741	47.065
231.062	47.727
230.810	47.835
231.060	48.324
230.853	48.476
231.081	48.869
230.295	49.177
229.499	49.479
229.838	49.983
229.700	50.055
229.838	50.217
229.671	50.298
229.746	50.465
229.247	50.908
228.926	51.185
229.150	51.612
>#NAmerica_Pacific	
247.679	28.125
247.985	27.906
248.289	27.694
248.494	27.570
248.618	27.497
248.431	27.215
248.627	27.105
248.494	26.927
248.772	26.723
249.043	26.535
249.242	26.416
249.320	26.361
249.222	26.225
249.428	26.066
249.709	25.889
249.976	25.706
250.128	25.607
250.194	25.557
249.993	25.339
250.212	25.180
250.409	25.016
250.650	24.857
250.822	24.735
250.938	24.658
250.724	24.396
250.998	24.152
251.194	23.984
251.390	23.814
251.561	23.674
251.643	23.614
251.349	23.241
251.612	23.082
251.730	22.610
251.590	22.440
251.470	22.280
251.480	22.200
251.410	22.100
251.320	21.960
251.420	21.910
251.418	21.905
>#Rivera_Pacific	
251.418	21.905
251.331	21.774
251.216	21.643
251.132	21.536
251.064	21.451
251.023	21.347
251.191	21.253
251.085	21.068
250.987	20.949
250.889	20.824
250.806	20.739
250.739	20.643
250.715	20.558
250.813	20.500
250.785	20.397
250.681	20.242
250.622	20.176
250.627	20.142
250.550	20.027
250.840	19.806
251.097	19.625
251.104	19.550
251.466	19.384
251.802	19.223
251.767	19.107
252.184	18.936
252.477	18.863
252.728	18.756
252.998	18.647
253.244	18.590
253.473	18.544
253.756	18.520
253.719	18.281
253.689	18.120
253.682	18.016
253.692	17.929
254.414	17.881
> #Cocos_Pacific 	
254.414	17.881
254.601	17.768
254.633	17.031
254.602	16.260
254.643	15.558
254.680	15.108
255.310	15.274
255.437	14.672
255.563	14.070
255.819	13.328
256.073	12.587
256.228	11.890
256.125	11.872
256.193	11.405
256.261	10.937
256.372	10.275
256.402	10.123
255.704	10.017
255.704	9.175
255.742	8.456
255.771	8.340
256.405	8.370
257.039	8.400
257.190	7.791
257.341	7.182
257.442	6.355
257.543	5.529
257.680	4.653
257.816	3.778
257.741	3.751
257.801	3.458
257.807	3.072
257.855	2.889
257.882	2.893
257.904	2.798
257.891	2.786
257.932	2.635
> #Cocos_Nazca	
257.932	2.635
258.122	2.642
258.303	2.640
258.510	2.605
258.488	2.232
258.797	2.241
258.804	2.199
258.933	2.210
259.356	2.204
259.606	2.207
259.934	2.207
259.953	2.300
260.087	2.272
260.189	2.273
260.261	2.269
260.343	2.190
261.082	2.112
261.111	2.213
261.633	2.145
262.154	2.077
262.449	2.088
262.415	1.898
263.120	1.886
263.825	1.873
263.880	2.238
264.776	2.222
264.802	2.507
265.596	2.440
266.389	2.372
267.072	2.300
267.755	2.227
267.910	2.200
267.882	1.990
268.462	2.011
268.439	1.817
269.303	1.736
269.337	1.120
270.216	1.073
271.096	1.025
271.976	0.977
272.855	0.929
273.734	0.880
274.614	0.832
274.651	1.644
275.424	1.598
275.429	2.066
275.433	2.534
275.533	3.112
276.077	3.139
276.622	3.165
277.194	3.118
277.125	3.595
277.125	4.072
277.125	4.563
277.125	5.054
277.125	5.833
277.125	6.562
