> #NAZ_SA	
283.994	-45.659
284.179	-44.849
284.218	-44.051
284.368	-43.648
284.442	-42.972
284.598	-42.285
284.603	-41.826
284.608	-41.367
284.811	-40.863
284.805	-40.359
284.872	-39.813
284.851	-39.564
285.012	-39.068
285.164	-38.542
285.345	-38.138
285.404	-37.563
285.558	-36.725
285.738	-36.165
286.103	-35.578
286.325	-34.888
286.754	-34.290
287.062	-33.837
287.139	-33.359
287.111	-32.742
287.238	-32.319
287.322	-31.531
287.382	-30.965
287.400	-30.190
287.445	-29.536
287.567	-28.901
287.830	-28.278
288.042	-27.755
288.153	-27.248
288.247	-26.652
288.372	-25.840
288.476	-25.093
288.534	-24.263
288.610	-23.523
288.652	-22.758
288.693	-21.965
288.751	-21.262
288.677	-20.758
288.638	-20.249
288.513	-19.811
288.254	-19.298
287.734	-18.722
287.263	-18.257
286.600	-17.747
286.051	-17.374
285.391	-16.823
284.708	-16.330
284.084	-15.736
283.597	-15.219
283.235	-14.843
282.875	-14.467
282.361	-13.914
281.852	-13.387
281.593	-13.014
281.335	-12.641
280.853	-11.890
280.382	-11.291
280.003	-10.560
279.632	-9.921
279.299	-9.434
278.959	-8.665
278.625	-7.988
278.451	-7.306
278.216	-6.655
278.046	-6.003
278.002	-5.253
277.990	-4.504
278.074	-3.721
278.401	-3.245
278.348	-3.000
278.468	-2.437
278.401	-1.814
278.585	-1.095
278.771	-0.284
279.113	0.432
279.426	1.053
279.708	1.549
280.209	2.074
280.522	2.427
280.835	2.780
281.338	3.392
281.658	4.066
281.920	4.832
282.090	5.505
281.950	6.053
281.914	6.122
281.871	6.239
281.849	6.343
281.805	6.461
281.735	6.502
281.664	6.564
281.600	6.660
281.557	6.757
281.458	6.853
281.401	6.942
281.302	6.997
281.253	7.031
281.238	7.100
281.285	7.232
281.354	7.337
>#NAmerica_Pacific	
141.883	34.213
141.992	34.666
142.029	34.889
142.067	35.164
142.170	35.217
142.221	35.333
142.325	35.503
142.460	35.673
142.555	35.944
142.606	36.001
142.681	36.064
142.761	36.188
142.887	36.264
143.020	36.339
143.151	36.520
143.275	36.649
143.408	36.860
143.518	37.059
143.637	37.290
143.743	37.479
143.843	37.710
143.888	37.928
143.928	38.166
143.973	38.359
144.017	38.536
144.061	38.709
144.119	38.909
144.189	39.123
144.203	39.374
144.236	39.557
144.225	39.767
144.254	39.928
144.283	40.067
144.328	40.203
144.399	40.367
144.479	40.549
144.454	40.847
145.077	41.319
145.710	41.788
146.198	42.076
146.690	42.362
147.345	42.685
148.340	43.208
149.311	43.721
150.339	44.187
150.877	44.447
151.419	44.704
152.240	45.158
152.880	45.529
153.528	45.897
154.195	46.440
154.664	46.853
155.141	47.263
155.742	47.725
156.353	48.183
157.024	48.659
157.568	49.107
158.121	49.552
158.644	49.855
159.174	50.154
159.877	50.855
160.599	51.488
160.945	52.159
161.584	52.654
162.458	53.003
162.790	53.625
163.282	54.347
163.670	54.779
164.066	55.209
164.847	54.957
165.771	54.588
166.407	54.237
167.413	53.906
168.188	53.569
168.836	53.208
169.752	52.855
170.700	52.498
171.847	52.026
172.964	51.684
174.219	51.403
175.571	51.108
176.720	50.896
177.680	50.698
178.498	50.619
179.688	50.506
180.798	50.496
181.520	50.490
182.242	50.484
182.912	50.496
183.777	50.588
184.371	50.745
185.093	50.826
185.881	50.896
186.672	50.964
187.516	51.069
188.366	51.171
189.103	51.306
189.841	51.439
190.622	51.632
191.028	51.740
192.010	52.001
193.181	52.257
193.892	52.453
194.610	52.644
195.335	52.818
196.066	52.988
196.823	53.180
197.587	53.367
198.336	53.496
199.090	53.621
199.871	53.741
200.656	53.855
202.014	54.101
202.933	54.318
203.862	54.527
204.761	54.785
205.840	55.239
206.836	55.610
207.773	56.058
208.782	56.309
209.453	56.499
209.919	56.623
210.780	56.925
211.743	57.347
212.551	57.832
213.241	58.352
213.736	58.814
214.244	59.273
>#NAmerica_Juan de Fuca	
235.258	40.313
235.047	40.633
235.067	40.884
234.911	41.135
234.818	41.380
234.691	41.652
234.719	41.818
234.687	41.986
234.669	42.142
234.710	42.285
234.791	42.359
234.802	42.492
234.732	42.561
234.711	42.862
234.711	43.051
234.657	43.143
234.606	43.267
234.526	43.426
234.520	43.737
234.550	43.925
234.571	44.002
234.638	44.066
234.628	44.323
234.628	44.523
234.624	44.667
234.566	44.725
234.563	44.881
234.565	45.104
234.483	45.474
234.345	45.946
234.227	46.295
234.124	46.643
234.002	46.970
233.915	47.350
233.630	47.748
233.514	47.996
233.267	48.291
232.982	48.565
232.622	48.750
232.392	48.877
232.182	49.080
232.148	49.491
231.971	49.781
231.717	49.885
231.586	50.086
231.281	50.310
230.990	50.479
230.540	50.647
230.262	50.836
230.018	51.101
229.788	51.278
229.452	51.398
229.150	51.612
>Cocos_N/Central America	
251.418	21.905
251.603	21.835
251.886	21.720
252.072	21.686
252.226	21.740
252.414	21.742
252.607	21.748
252.829	21.752
252.954	21.754
253.110	21.799
253.138	21.716
253.192	21.640
253.243	21.483
253.376	21.311
253.449	21.236
253.475	21.184
253.558	21.121
253.619	20.840
253.613	20.638
253.615	20.428
253.648	20.203
253.729	19.916
253.879	19.644
254.051	19.402
254.261	19.164
254.454	18.981
254.753	18.762
255.275	18.368
255.594	18.209
255.809	18.138
256.208	17.920
256.800	17.615
257.568	17.280
258.297	17.026
259.133	16.636
259.664	16.442
260.194	16.298
260.565	16.134
260.972	15.919
261.412	15.771
261.834	15.640
262.309	15.508
263.781	15.361
263.273	15.360
262.783	15.358
264.201	15.276
264.534	15.090
264.883	14.887
265.127	14.700
265.458	14.479
265.945	14.222
266.344	14.016
266.691	13.793
267.038	13.722
267.401	13.498
267.937	13.271
267.728	13.223
268.281	13.080
268.692	12.832
269.102	12.584
273.352	10.235
273.551	9.938
273.796	9.684
274.090	9.423
274.388	9.203
274.619	9.089
274.956	8.937
275.314	8.772
275.581	8.637
