> #NAmerica_Pacific (Canada/Alaska)	
214.244	59.273
215.023	59.576
215.684	59.918
216.668	60.206
217.595	60.465
218.402	60.401
218.926	60.310
219.872	60.381
220.604	60.090
221.140	59.762
221.647	59.336
222.181	58.925
222.893	58.438
223.105	58.090
223.478	57.634
223.791	57.118
224.097	56.621
224.571	56.102
224.820	55.819
225.331	55.317
225.849	54.812
226.160	54.377
226.574	53.924
226.907	53.522
227.286	53.127
227.831	52.697
228.408	52.259
228.823	51.886
229.150	51.612
>#NAmerica_Pacific (California)	
235.258	40.313
235.584	40.311
235.837	39.914
236.110	39.439
236.403	38.997
236.695	38.541
237.304	37.874
237.620	37.527
237.995	37.205
238.695	36.698
239.103	36.338
239.562	35.910
240.064	35.450
240.671	34.981
241.088	34.837
241.600	34.658
241.928	34.564
242.254	34.441
242.493	34.350
242.841	34.181
243.340	34.042
243.791	33.771
244.227	33.421
244.404	33.237
244.283	33.130
244.406	33.040
244.492	32.958
244.419	32.876
244.588	32.710
244.788	32.512
244.670	32.418
244.915	32.236
245.235	31.995
245.478	31.786
245.668	31.602
245.793	31.458
245.882	31.356
245.670	31.194
245.561	31.097
245.697	30.912
245.871	30.680
246.014	30.513
246.193	30.313
245.959	30.121
246.091	29.982
246.242	29.834
246.130	29.730
246.031	29.646
246.225	29.440
246.479	29.205
246.719	29.008
246.661	28.950
246.913	28.715
247.188	28.499
247.411	28.322
247.679	28.125
>#NAZ_Panama	
281.354	7.337
281.249	7.329
281.018	7.319
280.760	7.301
280.530	7.228
280.342	7.184
280.154	7.160
279.904	7.101
279.750	7.133
279.637	7.221
279.461	7.335
279.313	7.415
279.216	7.358
279.106	7.294
278.962	7.222
278.837	7.172
278.658	7.099
278.513	7.055
278.416	7.039
278.259	7.061
278.111	6.978
278.056	6.950
277.910	6.967
277.875	7.008
277.798	7.041
277.727	7.129
277.661	7.251
277.508	7.296
277.383	7.307
277.314	7.278
277.252	7.283
277.189	7.303
277.125	7.366
> #PAC_AUS (Alpine Fault)	
169.136	-43.845
169.647	-43.594
170.103	-43.358
170.638	-43.088
170.995	-42.932
171.277	-42.743
171.473	-42.675
171.859	-42.616
172.593	-42.483
173.126	-42.392
173.724	-42.291
174.304	-42.201
174.988	-42.122
175.503	-42.059
>#AUS_PAC (South)	
163.047	-50.273
162.963	-50.369
162.785	-50.443
162.594	-50.549
162.453	-50.668
162.273	-50.817
162.049	-50.962
161.825	-51.118
161.716	-51.192
161.542	-51.399
161.368	-51.542
161.162	-51.751
161.026	-51.924
160.762	-52.166
160.671	-52.292
160.535	-52.433
160.342	-52.634
160.092	-52.822
159.905	-52.991
159.731	-53.170
159.512	-53.345
159.318	-53.598
159.216	-53.619
159.142	-53.812
158.985	-54.088
158.885	-54.308
158.740	-54.559
158.674	-54.689
158.618	-54.928
158.596	-55.047
158.540	-55.272
158.465	-55.522
158.332	-55.779
158.226	-56.022
158.153	-56.165
158.042	-56.311
157.944	-56.438
157.823	-56.725
157.703	-56.992
157.640	-57.230
157.615	-57.474
157.620	-57.784
157.751	-58.068
157.920	-58.334
158.121	-58.605
158.267	-58.779
158.385	-58.858
158.650	-59.070
158.972	-59.305
159.186	-59.511
159.413	-59.732
159.691	-59.939
159.803	-60.006
160.327	-60.504
160.740	-61.053
161.129	-61.384
161.228	-61.457
>#Burma_India	
