x	y
11734930	-8811932
11900000	-3709535
13008021	1558264
13008021	3495989
-2746914	11373457
-4400000	11650000
-4400000	11700000
-5150000	11836400
-12837904	5306026
-12043500	3900000
-11700000	3900000
-11700000	3100000
-11478500	2950000
-11170000	2910000
-11120000	2700885
-11120000	2300885
-2490468	-13008021
1678214	-13008021
2950000	-12423000
2950000	-12100000
3000000	-12100000
3000000	-12050000
3120000	-12050000
3120000	-12000000
3869565	-12000000
4000000	-11800000
4000000	-11650000
4500000	-11550000
4500000	-11100000
5826087	-11100000
11734930	-8811932
